table_schema,table_name,column_name,ordinal_position,data_type,is_nullable,column_default,constraint_type,constraint_name,foreign_table_name,foreign_column_name,index_name,index_definition
auth,audit_log_entries,instance_id,1,uuid,YES,null,null,null,null,null,audit_log_entries_pkey,CREATE UNIQUE INDEX audit_log_entries_pkey ON auth.audit_log_entries USING btree (id)
auth,audit_log_entries,instance_id,1,uuid,YES,null,null,null,null,null,audit_logs_instance_id_idx,CREATE INDEX audit_logs_instance_id_idx ON auth.audit_log_entries USING btree (instance_id)
auth,audit_log_entries,id,2,uuid,NO,null,PRIMARY KEY,audit_log_entries_pkey,null,null,audit_log_entries_pkey,CREATE UNIQUE INDEX audit_log_entries_pkey ON auth.audit_log_entries USING btree (id)
auth,audit_log_entries,id,2,uuid,NO,null,PRIMARY KEY,audit_log_entries_pkey,null,null,audit_logs_instance_id_idx,CREATE INDEX audit_logs_instance_id_idx ON auth.audit_log_entries USING btree (instance_id)
auth,audit_log_entries,payload,3,json,YES,null,null,null,null,null,audit_logs_instance_id_idx,CREATE INDEX audit_logs_instance_id_idx ON auth.audit_log_entries USING btree (instance_id)
auth,audit_log_entries,payload,3,json,YES,null,null,null,null,null,audit_log_entries_pkey,CREATE UNIQUE INDEX audit_log_entries_pkey ON auth.audit_log_entries USING btree (id)
auth,audit_log_entries,created_at,4,timestamp with time zone,YES,null,null,null,null,null,audit_logs_instance_id_idx,CREATE INDEX audit_logs_instance_id_idx ON auth.audit_log_entries USING btree (instance_id)
auth,audit_log_entries,created_at,4,timestamp with time zone,YES,null,null,null,null,null,audit_log_entries_pkey,CREATE UNIQUE INDEX audit_log_entries_pkey ON auth.audit_log_entries USING btree (id)
auth,audit_log_entries,ip_address,5,character varying,NO,''::character varying,null,null,null,null,audit_logs_instance_id_idx,CREATE INDEX audit_logs_instance_id_idx ON auth.audit_log_entries USING btree (instance_id)
auth,audit_log_entries,ip_address,5,character varying,NO,''::character varying,null,null,null,null,audit_log_entries_pkey,CREATE UNIQUE INDEX audit_log_entries_pkey ON auth.audit_log_entries USING btree (id)
auth,flow_state,id,1,uuid,NO,null,PRIMARY KEY,flow_state_pkey,null,null,idx_user_id_auth_method,"CREATE INDEX idx_user_id_auth_method ON auth.flow_state USING btree (user_id, authentication_method)"
auth,flow_state,id,1,uuid,NO,null,PRIMARY KEY,flow_state_pkey,null,null,idx_auth_code,CREATE INDEX idx_auth_code ON auth.flow_state USING btree (auth_code)
auth,flow_state,id,1,uuid,NO,null,PRIMARY KEY,flow_state_pkey,null,null,flow_state_created_at_idx,CREATE INDEX flow_state_created_at_idx ON auth.flow_state USING btree (created_at DESC)
auth,flow_state,id,1,uuid,NO,null,PRIMARY KEY,flow_state_pkey,null,null,flow_state_pkey,CREATE UNIQUE INDEX flow_state_pkey ON auth.flow_state USING btree (id)
auth,flow_state,user_id,2,uuid,YES,null,null,null,null,null,flow_state_pkey,CREATE UNIQUE INDEX flow_state_pkey ON auth.flow_state USING btree (id)
auth,flow_state,user_id,2,uuid,YES,null,null,null,null,null,idx_user_id_auth_method,"CREATE INDEX idx_user_id_auth_method ON auth.flow_state USING btree (user_id, authentication_method)"
auth,flow_state,user_id,2,uuid,YES,null,null,null,null,null,idx_auth_code,CREATE INDEX idx_auth_code ON auth.flow_state USING btree (auth_code)
auth,flow_state,user_id,2,uuid,YES,null,null,null,null,null,flow_state_created_at_idx,CREATE INDEX flow_state_created_at_idx ON auth.flow_state USING btree (created_at DESC)
auth,flow_state,auth_code,3,text,YES,null,null,null,null,null,flow_state_created_at_idx,CREATE INDEX flow_state_created_at_idx ON auth.flow_state USING btree (created_at DESC)
auth,flow_state,auth_code,3,text,YES,null,null,null,null,null,idx_auth_code,CREATE INDEX idx_auth_code ON auth.flow_state USING btree (auth_code)
auth,flow_state,auth_code,3,text,YES,null,null,null,null,null,idx_user_id_auth_method,"CREATE INDEX idx_user_id_auth_method ON auth.flow_state USING btree (user_id, authentication_method)"
auth,flow_state,auth_code,3,text,YES,null,null,null,null,null,flow_state_pkey,CREATE UNIQUE INDEX flow_state_pkey ON auth.flow_state USING btree (id)
auth,flow_state,code_challenge_method,4,USER-DEFINED,YES,null,null,null,null,null,flow_state_created_at_idx,CREATE INDEX flow_state_created_at_idx ON auth.flow_state USING btree (created_at DESC)
